iter	RMSE
174	0.218256375
175	0.2177677208
176	0.2172538164
177	0.2170295848
178	0.2159860826
179	0.2153719685
180	0.2146912451
181	0.2138628025
182	0.2130650653
183	0.2126632836
184	0.2123043922
185	0.2121067308
186	0.2118657727
187	0.2110391571
188	0.2107970286
189	0.2103961868
190	0.2099670124
191	0.2088889417
192	0.2082565518
193	0.2080561496
194	0.2076241486
195	0.207011686
196	0.2067066575
197	0.2058904157
198	0.2053852296
199	0.2047109329
200	0.2044465484
201	0.204135103
202	0.2037386662
203	0.202735177
204	0.2023178073
205	0.2019615453
206	0.2014920289
207	0.2010932128
208	0.2006140904
209	0.2004481292
210	0.1999533665
211	0.1997704069
212	0.1995055575
213	0.1992544165
214	0.1988723627
215	0.1979943026
216	0.1977779705
217	0.197488858
218	0.1973016684
219	0.196879258
220	0.1965847556
221	0.1963076382
222	0.1959969598
223	0.1957635425
224	0.1953606189
225	0.1945475835
226	0.1943480367
227	0.1941262892
228	0.1938402789
229	0.1934623414
230	0.1930902353
231	0.1928923543
232	0.192230746
233	0.1918211931
234	0.1916543379
235	0.1914664123
236	0.1912729098
237	0.1910640493
238	0.1901657902
239	0.1896938024
240	0.1892879462
241	0.1881780758
242	0.1879715814
243	0.1876635702
244	0.1874217823
245	0.1873065739
246	0.1869936645
247	0.1866618354
248	0.186507339
249	0.1862996596
250	0.1861799455
251	0.1860742572
252	0.1853839532
253	0.1852258018
254	0.1850179706
255	0.1839952657
256	0.1837906226
257	0.1835534389
258	0.1825810095
259	0.1816559682
260	0.181349172
261	0.1811947402
262	0.180891762
263	0.1807536425
264	0.1803425282
265	0.1799588813
266	0.1798147494
267	0.1795969625
268	0.1794494398
269	0.1785676172
270	0.1784409719
271	0.1782916619
272	0.1781779911
273	0.1775067973
274	0.1769684282
275	0.1763543383
276	0.1762212939
277	0.175966173
278	0.1753905862
279	0.1751292923
280	0.174601704
281	0.174057354
282	0.173475178
283	0.1732064237
284	0.17307392
285	0.173010816
286	0.1728642909
287	0.172677249
288	0.1725564991
289	0.1718261198
290	0.1715605616
291	0.1714170775
292	0.1711735585
293	0.1707187177
294	0.1704525589
295	0.1703427927
296	0.1699043331
297	0.1697616975
298	0.1691422616
299	0.168915889
300	0.1687418176
301	0.1681798694
302	0.1679266432
303	0.1678386752
304	0.1671743314
305	0.1667758433
306	0.1664300094
307	0.1663002585
308	0.1658790969
309	0.1653609466
310	0.1651329858
311	0.1646735116
312	0.1643368222
313	0.1642030652
314	0.163795538
315	0.1634477426
316	0.1633932382
317	0.1630952778
318	0.162605481
319	0.1622354742
320	0.1619438476
321	0.1618945362
322	0.1617216341
323	0.1612510529
324	0.1608020252
325	0.1605870832
326	0.1603306381
327	0.1599906342
328	0.1598654328
329	0.1595561317
330	0.1591642269
331	0.1590765835
332	0.1588767775
333	0.1586470286
334	0.1585378925
335	0.1583415328
336	0.1582537921
337	0.158138516
338	0.158053039
339	0.1576225114
340	0.157186287
341	0.1570816478
342	0.1568880967
343	0.1568024784
344	0.1565328357
345	0.1562743656
346	0.1559722715
347	0.1555169858
348	0.1553956801
349	0.1552924751
350	0.1551657151
351	0.1550045142
352	0.1549089756
353	0.154822731
354	0.1547306026
355	0.1543832499
356	0.1543649377
357	0.1542900396
358	0.1540014321
359	0.1539006235
360	0.1536703017
361	0.1532433634
362	0.1532305458
363	0.1531488435
364	0.152767877
365	0.1527530774
366	0.1523824838
367	0.15218187
368	0.1519028551
369	0.1515020424
370	0.1511405333
371	0.1509707351
372	0.1505805871
373	0.1503184842
374	0.1499796757
375	0.1498562097
376	0.1497784218
377	0.1497101438
378	0.1497012799
379	0.1495892714
380	0.1492359628
381	0.1490565925
382	0.1488192018
383	0.1485421463
384	0.1484250829
385	0.1482713108
386	0.1480876218
387	0.1477160923
388	0.1475956703
389	0.1475639991
390	0.1474054487
391	0.1473542333
392	0.1471916458
393	0.1468428688
394	0.1466567946
395	0.1465132057
396	0.1464463075
397	0.1463431693
398	0.1463196267
399	0.1462308265
400	0.1460357801
401	0.1457685945
402	0.1457119082
403	0.1455319386
404	0.1452121201
405	0.1448791132
406	0.1445706275
407	0.144313758
408	0.1442933877
409	0.1441304188
410	0.1441106597
411	0.1440044562
412	0.1438015082
413	0.1437395467
414	0.143406754
415	0.1433968734
416	0.143193166
417	0.1430721596
418	0.1430626809
419	0.1428685063
420	0.1426236607
421	0.1424444804
422	0.1421920504
423	0.1419435982
424	0.1417340156
425	0.1415608698
426	0.1413305047
427	0.1412081811
428	0.1410350521
429	0.1410060203
430	0.1406906339
431	0.1405448252
432	0.1404556121
433	0.1404395208
434	0.140233368
435	0.1400973869
436	0.1399333727
437	0.1398537845
438	0.1396872996
439	0.1395719111
440	0.1394953092
441	0.1392156566
442	0.1389948091
443	0.1387539717
444	0.1385948425
445	0.1384150526
446	0.1381724503
447	0.1381207703
448	0.1379425437
449	0.1378909182
450	0.1375341684
451	0.1375055451
452	0.1372023991
453	0.1370173826
454	0.1366944282
455	0.1364550234
456	0.1363102481
457	0.1360029112
458	0.1356941406
459	0.1355200859
460	0.1352428594
461	0.1351476063
462	0.1350984998
463	0.1350209742
464	0.1348934715
465	0.1348873589
466	0.1347409387
467	0.1345585516
468	0.1344534744
469	0.1343146881
470	0.1342111229
471	0.1340793404
472	0.1340262261
473	0.1338572772
474	0.1336819173
475	0.1336719793
476	0.1336573093
477	0.1336469781
478	0.1335520417
479	0.1334264826
480	0.1333531375
481	0.1331068968
482	0.1329359804
483	0.1326832936
484	0.1325743988
485	0.1323181083
486	0.132267614
487	0.1320974022
488	0.1319866758
489	0.1318102938
490	0.1316929471
491	0.1315337297
492	0.1314528538
493	0.1314375207
494	0.1313856072
495	0.1313103819
496	0.1311789473
497	0.1309727469
498	0.1308322009
499	0.1307731484
500	0.1306177883
501	0.1305992726
502	0.1305402651
503	0.130410456
504	0.1302924812
505	0.1301960006
506	0.130181917
507	0.1300580021
508	0.1299418175
509	0.1296853379
510	0.1294394286
511	0.1294288336
512	0.1293424068
513	0.1291057234
514	0.1289875686
515	0.1289148701
516	0.1287712328
517	0.1286750257
518	0.1286265135
519	0.1284997552
520	0.1282481649
521	0.1281447301
522	0.1280406932
523	0.1280265029
524	0.1279094467
525	0.1277790016
526	0.1276336907
527	0.1274454317
528	0.1272339127
529	0.1271491237
530	0.1270863931
531	0.126848467
532	0.1266452581
533	0.1265426942
534	0.1263077358
535	0.1262115758
536	0.1260297064
537	0.1258082048
538	0.1257015603
539	0.1256354626
540	0.1254367304
541	0.1252145503
542	0.1251510724
543	0.1250876816
544	0.1249812052
545	0.1248552646
546	0.1246438366
547	0.1245177665
548	0.1243877854
549	0.1242997201
550	0.1240669551
551	0.1238971739
552	0.1238132523
553	0.123736908
554	0.1235634265
555	0.123321273
556	0.1232842692
557	0.1231460253
558	0.1229701106
559	0.1228948944
560	0.1228604964
561	0.1227492834
562	0.1225467756
563	0.1224693169
564	0.1223884201
565	0.1222138602
566	0.1220184067
567	0.1220096717
568	0.1218966254
569	0.1216840261
570	0.1216116084
571	0.1215152582
572	0.1214518627
573	0.1213805833
574	0.1212557358
575	0.1211019671
576	0.1209271203
577	0.1208636106
578	0.1207980323
579	0.1205959571
580	0.1204862338
581	0.120299031
582	0.1201848131
583	0.120119523
584	0.1200523709
585	0.1199730405
586	0.1199326575
587	0.1198804054
588	0.1197668925
589	0.1196009049
590	0.1195475671
591	0.119336384
592	0.1191145859
593	0.1189854368
594	0.1189134652
595	0.11885752
596	0.1187441264
597	0.1186349297
598	0.1185323035
599	0.1184744879
600	0.1183684652
601	0.1183622593
602	0.1182955768
603	0.1182452344
604	0.1181128165
605	0.1180055079
606	0.1179304009
607	0.1178631836
608	0.117767076
609	0.1177279152
610	0.1175516557
611	0.1174066
612	0.1173449515
613	0.1171476268
614	0.1171013958
615	0.1169393204
616	0.1167694729
617	0.1165834465
618	0.1164019005
619	0.1163216368
620	0.1162944823
621	0.116153058
622	0.1161318199
623	0.1159745215
624	0.1159116511
625	0.1158729868
626	0.1157436479
627	0.1156447435
628	0.1155773459
629	0.1155695343
630	0.1154092064
631	0.1152993972
632	0.1151988898
633	0.1150606559
634	0.1149100913
635	0.1147471972
636	0.1145363779
637	0.1144358485
638	0.1143525049
639	0.1142535995
640	0.1141654898
641	0.1141060065
642	0.1139417556
643	0.113834486
644	0.1137350352
645	0.1136134429
646	0.1136008798
647	0.1135327574
648	0.1133555861
649	0.113324319
650	0.1131637551
651	0.113145689
652	0.1130644191
653	0.1129149656
654	0.1127211045
655	0.1126629144
656	0.1124964168
657	0.1123149954
658	0.1122869269
659	0.1122023704
660	0.1120284269
661	0.1119324962
662	0.1118709432
663	0.1117784433
664	0.1116900102
665	0.1116288266
666	0.1115697084
667	0.1114229764
668	0.1112873295
669	0.1111577458
670	0.1111354982
671	0.1109844904
672	0.1109250728
673	0.1107857686
674	0.1106629208
675	0.1105337683
676	0.1103970608
677	0.1103004655
678	0.1102437142
679	0.1101371842
680	0.1100886624
681	0.1100425087
682	0.1099118093
683	0.1098264515
684	0.1097809485
685	0.1097264003
686	0.1096424652
687	0.1095965397
688	0.1094837744
689	0.1093469516
690	0.1091991177
691	0.1091065479
692	0.1090245047
693	0.1089893542
694	0.1088667215
695	0.108812272
696	0.1087975399
697	0.1087281341
698	0.1086072127
699	0.1085392824
700	0.108472834
701	0.108336998
702	0.1081838902
703	0.108077345
704	0.1080325796
705	0.1078881322
706	0.1078155293
707	0.1077164579
708	0.1076381241
709	0.1075969477
710	0.1075479741
711	0.1075027295
712	0.1074097529
713	0.1073609283
714	0.1072546847
715	0.1072163459
716	0.1071816275
717	0.1070364318
718	0.1069616102
719	0.1068741373
720	0.1068462135
721	0.106814491
722	0.1067550706
723	0.1067167545
724	0.1066245378
725	0.1066059891
726	0.1065021546
727	0.1064220638
728	0.1063556894
729	0.1063407799
730	0.1063074328
731	0.1061836523
732	0.1060676271
733	0.1060535175
734	0.1059977073
735	0.1059561832
736	0.1058635183
737	0.1057783557
738	0.1057447162
739	0.1056492282
740	0.1055815435
741	0.1055069451
742	0.1054954913
743	0.1054673841
744	0.1053687705
745	0.1052858895
746	0.1052611532
747	0.1052215547
748	0.1052022213
749	0.1051073188
750	0.1050383264
751	0.1049106655
752	0.1048649281
753	0.10477692
754	0.1047530375
755	0.1046338885
756	0.1046006556
757	0.1045540968
758	0.104466014
759	0.1043801405
760	0.1043290162
761	0.1042987821
762	0.1041932403
763	0.1041890177
764	0.1041187223
765	0.1041008995
766	0.1040299611
767	0.1039611781
768	0.1038482288
769	0.1038140392
770	0.1037710295
771	0.1037229267
772	0.1036373275
773	0.1035284191
774	0.1034440139
775	0.1033586612
776	0.1032424222
777	0.1032377362
778	0.1031453477
779	0.1031310807
780	0.1030469259
781	0.1029958998
782	0.1028794869
783	0.1028410201
784	0.1028089041
785	0.1026801567
786	0.1026486057
787	0.1026215443
788	0.1025251057
789	0.1024427418
790	0.1023598954
791	0.1022682837
792	0.1022197116
793	0.1021710422
794	0.1020722873
795	0.1020095381
796	0.1019650726
797	0.1019129714
798	0.1018392829
799	0.1017781765
800	0.1016952586
801	0.101610241
802	0.1015655299
803	0.101504792
804	0.1014630739
805	0.1013834681
806	0.1013642745
807	0.1013214749
808	0.1012975244
809	0.1012339061
810	0.1012243276
811	0.1010880047
812	0.1010223921
813	0.1010021622
814	0.1008849046
815	0.1008612183
816	0.1007726778
817	0.100670132
818	0.1006336786
819	0.1005852942
820	0.1005697946
821	0.1005298651
822	0.1004999007
823	0.1004579867
824	0.1004322447
825	0.1004056937
826	0.1003581683
827	0.100291622
828	0.1002364907
829	0.1001223573
830	0.1000532303
831	0.09994843407
832	0.09986771294
833	0.09984036685
834	0.09980101943
835	0.09968162219
836	0.09966972893
837	0.09960255624
838	0.09953728114
839	0.09942274033
840	0.09934762406
841	0.09923249159
842	0.09913610936
843	0.09908021222
844	0.09907530024
845	0.09901322465
846	0.09891777898
847	0.09885573834
848	0.09882850675
849	0.09875942959
850	0.09866611824
851	0.09855797029
852	0.09845135163
853	0.09837252589
854	0.09833528989
855	0.09830091797
856	0.09818700233
857	0.09810002734
858	0.09808581944
859	0.09800841846
860	0.0980001884
861	0.09796394251
862	0.0979049827
863	0.09789753062
864	0.09780539018
865	0.09775807757
866	0.09774695262
867	0.09771324989
868	0.09767988389
869	0.09763202405
870	0.09755846853
871	0.09747894756
872	0.09737161601
873	0.09729951979
874	0.09721409435
875	0.09719943814
876	0.09710694987
877	0.09705044092
878	0.09697314279
879	0.09685263376
880	0.09677139403
881	0.09671668109
882	0.09671316146
883	0.09664134366
884	0.09658808878
885	0.09651827585
886	0.0964305779
887	0.09637890286
888	0.09637561092
889	0.09627572124
890	0.09619547328
891	0.09610912948
892	0.09604560883
893	0.096012841
894	0.09596778884
895	0.09594328831
896	0.09586653719
897	0.09577666784
898	0.09571263595
899	0.09564927117
900	0.095600344
901	0.09557829943
902	0.09550343878
903	0.0955003363
904	0.09547991086
905	0.09540225279
906	0.09532583802
907	0.09530307104
908	0.09522885689
909	0.09514709794
910	0.09509772134
911	0.09502277425
912	0.09498219695
913	0.09497957004
914	0.09495242166
915	0.09488506857
916	0.0948261914
917	0.09472619047
918	0.09472394076
919	0.09469685176
920	0.09466540135
921	0.09460599042
922	0.09456125105
923	0.09453727981
924	0.09451722385
925	0.09447527064
926	0.09441405411
927	0.09439752335
928	0.09437671842
929	0.09433294279
930	0.09424929341
931	0.09417706015
932	0.09414356104
933	0.0941186337
934	0.09403855746
935	0.09397634099
936	0.09391721534
937	0.09382864951
938	0.09378801861
939	0.09373782615
940	0.09372505379
941	0.09369649484
942	0.09360539909
943	0.09351284178
944	0.09344912307
945	0.09344338759
946	0.09339104368
947	0.09335502207
948	0.09330829103
949	0.09327212382
950	0.09320833829
951	0.09315430284
952	0.09309090207
953	0.09304613209
954	0.09295773078
955	0.09292018724
956	0.09284556808
957	0.09276851004
958	0.09272866127
959	0.09270112981
960	0.09269310404
961	0.09263572175
962	0.09258581024
963	0.09252540377
964	0.09249782937
965	0.09249267023
966	0.09244316918
967	0.09238830113
968	0.09236665035
969	0.09231732473
970	0.09228703555
971	0.0922099424
972	0.09217500575
973	0.09212560513
974	0.09205060674
975	0.09199456559
976	0.09198547066
977	0.09189419285
978	0.09189147659
979	0.09183966415
980	0.0917828262
981	0.09169832741
982	0.09163656265
983	0.0915765551
984	0.09153121091
985	0.09149892245
986	0.09147199263
987	0.09140015112
988	0.09135252538
989	0.09127140961
990	0.09122903188
991	0.09115005496
992	0.09113760194
993	0.09112939371
994	0.09111521107
995	0.09107080641
996	0.09101890821
997	0.09100679021
998	0.09092096592
999	0.09084651952
